Inputs,Outputs,Nodes,Skip %,Optimizer,Best Val Acc (%),Best Epoch,Final Val Acc (%),Final Val Loss,CPU Load (%),Memory Used (MB),Memory Free (MB),Start Time,End Time,Avg Time (ns),Average Weight,Edge Count,Learning Rate,Dropout Rate,L2 Lambda,Adam Beta1,Adam Beta2,Adam Epsilon,RMSprop Decay,RMSprop Epsilon,Depth,Total Nodes,Layer Config,Architecture String,Teacher Params,Student Params,Baseline Params
NA,NA,NA,25.0,Config4,61.0,144,49.0,0.6775548616732988,12.49,154,357,217667676795500,217667682435200,5684490.5,1.301806,16,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,4,830
NA,NA,NA,25.0,Config6,54.0,217,45.0,0.688897297079098,12.52,180,331,217708562174100,217708567589200,5487410.0,1.561565,12,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,6,830
NA,NA,NA,25.0,Config3,57.99999999999999,322,52.5,0.7114121534133001,12.49,166,345,217688768300900,217688774173100,6079903.5,1.542402,20,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,3,830
NA,NA,NA,25.0,Config5,56.00000000000001,87,51.0,0.5924410731797427,12.0,174,337,217701959167300,217701964522900,5600586.5,1.258045,14,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,5,830
NA,NA,NA,25.0,Config4,60.0,201,49.0,0.7602470464686452,12.37,170,341,217695336638800,217695341909200,5434848.5,1.520954,16,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,4,830
NA,NA,NA,50.0,Config6,57.99999999999999,158,48.0,0.7043992318366213,11.65,152,359,218687168244700,218687174826200,7887055.0,1.45703,10,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,6,924
NA,NA,NA,50.0,Config5,57.99999999999999,289,54.0,0.6134320232531075,11.49,148,363,218678398340200,218678410268600,8644607.5,1.59116,12,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,5,924
NA,NA,NA,50.0,Config4,56.00000000000001,335,53.0,0.5747720248964301,12.72,144,367,218669320107700,218669329136100,8982725.5,1.283612,14,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,4,924
NA,NA,NA,50.0,Config3,58.5,322,55.50000000000001,0.6321730469878518,12.18,140,371,218659718762500,218659728910500,7312045.0,1.519923,16,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,3,924
NA,NA,NA,50.0,Config6,61.0,292,54.0,0.5849194704820035,12.66,168,343,218718824387500,218718831456300,8071491.5,1.351801,10,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,6,924
NA,NA,NA,50.0,Config5,56.99999999999999,396,53.0,0.7476278057056462,12.5,164,347,218710164384300,218710171479700,6802864.5,1.622883,12,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,5,924
NA,NA,NA,50.0,Config4,61.0,315,55.50000000000001,0.6116944583443015,12.43,160,351,218702929162100,218702935909300,7858599.0,1.393883,14,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,4,924
NA,NA,NA,50.0,Config3,58.5,19,46.5,0.6414501246719094,12.44,156,355,218694581971000,218694588949700,6655859.0,1.181999,16,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,3,924
NA,NA,NA,50.0,Config6,55.50000000000001,334,49.5,0.6260299145959147,12.41,186,325,218751328580700,218751334553100,6891176.5,1.041424,10,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,6,924
NA,NA,NA,50.0,Config5,57.99999999999999,322,50.0,0.7281242188247512,10.6,182,329,218743711113200,218743718933400,7484397.0,1.688187,12,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,5,924
NA,NA,NA,50.0,Config4,61.0,145,52.0,0.535355728756372,11.86,178,333,218735726380500,218735733409100,8213708.5,1.223475,14,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,4,924
NA,NA,NA,50.0,Config3,58.5,381,55.00000000000001,0.6541755716155078,11.35,174,337,218726869697000,218726876248100,6771304.0,1.658138,16,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,3,924
